text,label,template
Can I book an appointment for next Monday?,GREEN,en:can I book an appointment for next Monday?
"Since my kidney stone, my legs and ankles have been swelling since last night",YELLOW,en:my legs and ankles have been swelling {t}
"As a kidney patient, I am passing dark red urine for a few days now",RED,en:I am passing dark red urine {t}
"Hello, can I get my flu vaccination at the clinic?",GREEN,en:can I get my flu vaccination at the clinic?
I'm on dialysis and I cannot empty my bladder this morning,RED,en:I cannot empty my bladder {t}
I've had muscle cramps since this afternoon,YELLOW,en:I've had muscle cramps {t}
"কিডনি রোগী হিসেবে বলছি, দুই দিন ধরে শ্বাসকষ্ট হচ্ছে",RED,bn:{t}শ্বাসকষ্ট হচ্ছে
My doctor said I have reduced kidney function and I am so swollen that I cannot sleep lying down since this afternoon,RED,en:I am so swollen that I cannot sleep lying down {t}
I've been vomiting blood since last night,RED,en:I've been vomiting blood {t}
I'm on dialysis and I have some discomfort around my kidneys for a few days now,YELLOW,en:I have some discomfort around my kidneys {t}
Is there wheelchair access at the entrance?,GREEN,en:is there wheelchair access at the entrance?
"Please, can I eat tomatoes with my condition?",GREEN,en:can I eat tomatoes with my condition?
I have CKD and I've had a dull headache and feel a bit off since yesterday,YELLOW,en:I've had a dull headache and feel a bit off {t}
"Since my kidney stone, my urine is the colour of blood since yesterday",RED,en:my urine is the colour of blood {t}
I have CKD and I collapsed for the last two days,RED,en:I collapsed {t}
"Since my kidney stone, I go lightheaded when I stand up since yesterday",YELLOW,en:I go lightheaded when I stand up {t}
I had a kidney transplant last year and I have a mild headache for a few days now,YELLOW,en:I have a mild headache {t}
I have stage 3 kidney disease and I have a mild fever over the past week,YELLOW,en:I have a mild fever {t}
My doctor said I have reduced kidney function and I have some abdominal pain for a few days now,YELLOW,en:I have some abdominal pain {t}
I had a kidney transplant last year and I'm extremely drowsy and can barely stay awake since yesterday,RED,en:I'm extremely drowsy and can barely stay awake {t}
গতকাল থেকে প্রস্রাবে রক্ত যাচ্ছে,RED,bn:{t}প্রস্রাবে রক্ত যাচ্ছে
"আমার কিডনি রোগ আছে, আজ সকাল থেকে হঠাৎ তীব্র মাথাব্যথা শুরু হয়েছে",RED,bn:{t}হঠাৎ তীব্র মাথাব্যথা শুরু হয়েছে
Can my family member pick up my medication?,GREEN,en:can my family member pick up my medication?
"Good morning, can I pay my bill online?",GREEN,en:can I pay my bill online?
I'm on dialysis and I'm not urinating as much as I used to since yesterday,YELLOW,en:I'm not urinating as much as I used to {t}
Can I travel by plane next month?,GREEN,en:can I travel by plane next month?
"আমি ডায়ালাইসিস নিচ্ছি, হঠাৎ তীব্র মাথাব্যথা শুরু হয়েছে",RED,bn:{t}হঠাৎ তীব্র মাথাব্যথা শুরু হয়েছে
Should I bring my previous reports to the appointment?,GREEN,en:should I bring my previous reports to the appointment?
I'm having chest pain over the past week,RED,en:I'm having chest pain {t}
Are my last lab results available yet?,GREEN,en:are my last lab results available yet?
Is the pharmacy open after 6 pm?,GREEN,en:is the pharmacy open after 6 pm?
"Hello, can I switch to an evening dialysis slot?",GREEN,en:can I switch to an evening dialysis slot?
I have CKD and I collapsed for a few days now,RED,en:I collapsed {t}
I've had a dull headache and feel a bit off since yesterday,YELLOW,en:I've had a dull headache and feel a bit off {t}
"Hi, thank you for the help during my last visit",GREEN,en:thank you for the help during my last visit
"Since my kidney stone, nothing comes out when I try to pee this morning",RED,en:nothing comes out when I try to pee {t}
I had a kidney transplant last year and I noticed blood in my urine this morning,RED,en:I noticed blood in my urine {t}
"Please, can I get a medical certificate for work?",GREEN,en:can I get a medical certificate for work?
"Since my kidney stone, my urine has turned dark like cola and I feel terrible over the past week",RED,en:my urine has turned dark like cola and I feel terrible {t}
I'm on dialysis and I have severe pain in my side with a high fever and shaking chills over the past week,RED,en:I have severe pain in my side with a high fever and shaking chills {t}
"As a kidney patient, I can't breathe properly for the last two days",RED,en:I can't breathe properly {t}
I fainted since last night,RED,en:I fainted {t}
ব্যায়াম করা কি আমার জন্য নিরাপদ?,GREEN,bn:ব্যায়াম করা কি আমার জন্য নিরাপদ?
"As a kidney patient, my abdominal pain is severe and I also have a high fever since yesterday",RED,en:my abdominal pain is severe and I also have a high fever {t}
I had a kidney transplant last year and my face is puffy in the mornings since last night,YELLOW,en:my face is puffy in the mornings {t}
I have stage 3 kidney disease and I haven't passed any urine for the last two days,RED,en:I haven't passed any urine {t}
"আমার কিডনি রোগ আছে, আজ সকাল থেকে প্রস্রাবের সাথে রক্ত যাচ্ছে",RED,bn:{t}প্রস্রাবের সাথে রক্ত যাচ্ছে
"আমার কিডনির কার্যক্ষমতা কমে গেছে, দুই দিন ধরে খিঁচুনি হয়েছে",RED,bn:{t}খিঁচুনি হয়েছে
"Since my kidney stone, there's blood when I pee since last night",RED,en:there's blood when I pee {t}
My urine has turned dark like cola and I feel terrible since this afternoon,RED,en:my urine has turned dark like cola and I feel terrible {t}
I have CKD and I have severe abdominal pain that won't go away this morning,RED,en:I have severe abdominal pain that won't go away {t}
I have CKD and I've been vomiting blood for the last two days,RED,en:I've been vomiting blood {t}
"Hello, is there wheelchair access at the entrance?",GREEN,en:is there wheelchair access at the entrance?
"কিডনি রোগী হিসেবে বলছি, বুকে ব্যথা করছে",RED,bn:{t}বুকে ব্যথা করছে
"Since my kidney stone, I've gained a few kilos this morning and feel bloated",YELLOW,en:I've gained a few kilos {t} and feel bloated
I have a mild fever over the past week,YELLOW,en:I have a mild fever {t}
"কিডনি রোগী হিসেবে বলছি, আজ সকাল থেকে প্রস্রাবের সাথে রক্ত যাচ্ছে",RED,bn:{t}প্রস্রাবের সাথে রক্ত যাচ্ছে
I had a kidney transplant last year and there is froth in my urine since yesterday,YELLOW,en:there is froth in my urine {t}
I had a kidney transplant last year and my urination has decreased for the last two days,YELLOW,en:my urination has decreased {t}
I've had trouble concentrating and feel foggy this morning,YELLOW,en:I've had trouble concentrating and feel foggy {t}
I have stage 3 kidney disease and I have pain near my kidneys over the past week,YELLOW,en:I have pain near my kidneys {t}
"Good morning, I have a mild stomach ache after eating spicy food, is that normal?",GREEN,"en:I have a mild stomach ache after eating spicy food, is that normal?"
I'm on dialysis and blood is coming through my urine since this afternoon,RED,en:blood is coming through my urine {t}
একটা প্রশ্ন ছিল - আমি কি বিমানে ভ্রমণ করতে পারব?,GREEN,bn:আমি কি বিমানে ভ্রমণ করতে পারব?
My stomach has been hurting a little since this afternoon,YELLOW,en:my stomach has been hurting a little {t}
পা ও গোড়ালি ফুলে আছে,YELLOW,bn:{t}পা ও গোড়ালি ফুলে আছে
"আমার কিডনি রোগ আছে, কাল রাত থেকে প্রস্রাব একদম বন্ধ হয়ে গেছে",RED,bn:{t}প্রস্রাব একদম বন্ধ হয়ে গেছে
"Since my kidney stone, I have been sleeping badly for a few days now",YELLOW,en:I have been sleeping badly {t}
I have stage 3 kidney disease and I have severe abdominal pain that won't go away over the past week,RED,en:I have severe abdominal pain that won't go away {t}
"As a kidney patient, there's a metallic taste in my mouth since this afternoon",YELLOW,en:there's a metallic taste in my mouth {t}
"Hello, can I eat tomatoes with my condition?",GREEN,en:can I eat tomatoes with my condition?
"আমি ডায়ালাইসিস নিচ্ছি, দুই দিন ধরে মুখ ফুলে গেছে",YELLOW,bn:{t}মুখ ফুলে গেছে
I have stage 3 kidney disease and I cannot get a full breath in for the last two days,RED,en:I cannot get a full breath in {t}
I have CKD and I cannot get a full breath in since yesterday,RED,en:I cannot get a full breath in {t}
My legs are hugely swollen and now it's hard to lie flat since yesterday,RED,en:my legs are hugely swollen and now it's hard to lie flat {t}
I've been peeing blood since last night,RED,en:I've been peeing blood {t}
I have stage 3 kidney disease and I have a dull ache in my kidney area over the past week,YELLOW,en:I have a dull ache in my kidney area {t}
"Since my kidney stone, I brought up blood since last night",RED,en:I brought up blood {t}
My doctor said I have reduced kidney function and I've been sleeping badly and feel restless since this afternoon,YELLOW,en:I've been sleeping badly and feel restless {t}
"আমার কিডনি রোগ আছে, প্রস্রাবে ফেনা হচ্ছে",YELLOW,bn:{t}প্রস্রাবে ফেনা হচ্ছে
I had a kidney transplant last year and I haven't passed any urine for a few days now,RED,en:I haven't passed any urine {t}
I'm on dialysis and there's a metallic taste in my mouth since this afternoon,YELLOW,en:there's a metallic taste in my mouth {t}
"Since my kidney stone, I feel severely confused since yesterday",RED,en:I feel severely confused {t}
I have no urine output since this afternoon,RED,en:I have no urine output {t}
"আসসালামু আলাইকুম, গত ভিজিটে সাহায্যের জন্য ধন্যবাদ",GREEN,bn:গত ভিজিটে সাহায্যের জন্য ধন্যবাদ
"দয়া করে জানাবেন, কলা খেতে পারব কি?",GREEN,bn:কলা খেতে পারব কি?
"Since my kidney stone, I go lightheaded when I stand up since last night",YELLOW,en:I go lightheaded when I stand up {t}
"Since my kidney stone, I get breathless just walking across the room for a few days now",RED,en:I get breathless just walking across the room {t}
I have CKD and my chest feels tight and heavy since yesterday,RED,en:my chest feels tight and heavy {t}
Quick question - is brown rice okay for my diet?,GREEN,en:is brown rice okay for my diet?
My bladder feels full but nothing will come since yesterday,RED,en:my bladder feels full but nothing will come {t}
"আমি ডায়ালাইসিস নিচ্ছি, কয়েকদিন ধরে রক্ত বমি হচ্ছে",RED,bn:{t}রক্ত বমি হচ্ছে
I had a kidney transplant last year and I'm extremely drowsy and can barely stay awake for a few days now,RED,en:I'm extremely drowsy and can barely stay awake {t}
I have CKD and my ankles puff up by the evening this morning,YELLOW,en:my ankles puff up by the evening {t}
I'm on dialysis and I'm not urinating as much as I used to this morning,YELLOW,en:I'm not urinating as much as I used to {t}
"আসসালামু আলাইকুম, টমেটো খাওয়া যাবে কি?",GREEN,bn:টমেটো খাওয়া যাবে কি?
I have stage 3 kidney disease and I can't catch my breath and my chest feels tight,RED,en:I can't catch my breath and my chest feels tight
"Good morning, can my family member pick up my medication?",GREEN,en:can my family member pick up my medication?
My doctor said I have reduced kidney function and my blood pressure readings are higher than normal since yesterday,YELLOW,en:my blood pressure readings are higher than normal {t}
Can I get a medical certificate for work?,GREEN,en:can I get a medical certificate for work?
"Please, what time is my dialysis session tomorrow?",GREEN,en:what time is my dialysis session tomorrow?
"Good morning, how many cups of fluid can I have daily?",GREEN,en:how many cups of fluid can I have daily?
I had a kidney transplant last year and I'm not urinating as much as I used to since yesterday,YELLOW,en:I'm not urinating as much as I used to {t}
"কিডনি রোগী হিসেবে বলছি, গতকাল থেকে পা ফুলে যাচ্ছে",YELLOW,bn:{t}পা ফুলে যাচ্ছে
"Please, can I get my flu vaccination at the clinic?",GREEN,en:can I get my flu vaccination at the clinic?
I have CKD and my legs are hugely swollen and now it's hard to lie flat since yesterday,RED,en:my legs are hugely swollen and now it's hard to lie flat {t}
I have CKD and I've been throwing up nonstop and can't keep any water down since last night,RED,en:I've been throwing up nonstop and can't keep any water down {t}
"Please, can you send me a copy of my prescription?",GREEN,en:can you send me a copy of my prescription?
"Good morning, thank you for the help during my last visit",GREEN,en:thank you for the help during my last visit
"Please, how much salt is safe for me per day?",GREEN,en:how much salt is safe for me per day?
I have stage 3 kidney disease and my urine output seems lower than normal since this afternoon,YELLOW,en:my urine output seems lower than normal {t}
I have CKD and my urine has an unusual smell since this afternoon,YELLOW,en:my urine has an unusual smell {t}
I have stage 3 kidney disease and I am so swollen that I cannot sleep lying down this morning,RED,en:I am so swollen that I cannot sleep lying down {t}
"কিডনি রোগী হিসেবে বলছি, গতকাল থেকে মুখ ফুলে গেছে",YELLOW,bn:{t}মুখ ফুলে গেছে
I'm on dialysis and I collapsed since yesterday,RED,en:I collapsed {t}
আমি কি বিমানে ভ্রমণ করতে পারব?,GREEN,bn:আমি কি বিমানে ভ্রমণ করতে পারব?
"আমার কিডনি রোগ আছে, কয়েকদিন ধরে রক্ত বমি হচ্ছে",RED,bn:{t}রক্ত বমি হচ্ছে
"Hi, can I travel by plane next month?",GREEN,en:can I travel by plane next month?
I had a kidney transplant last year and blood is coming through my urine since this afternoon,RED,en:blood is coming through my urine {t}
"As a kidney patient, I get cramp in my legs at night since last night",YELLOW,en:I get cramp in my legs at night {t}
I'm on dialysis and I have been sleeping badly since this afternoon,YELLOW,en:I have been sleeping badly {t}
I have the most severe headache I have ever felt since last night,RED,en:I have the most severe headache I have ever felt {t}
"Good morning, is the pharmacy open after 6 pm?",GREEN,en:is the pharmacy open after 6 pm?
I had a kidney transplant last year and I get cramp in my legs at night over the past week,YELLOW,en:I get cramp in my legs at night {t}
"Since my kidney stone, I get cramp in my legs at night for the last two days",YELLOW,en:I get cramp in my legs at night {t}
I had a kidney transplant last year and my side hurts near where my kidney is this morning,YELLOW,en:my side hurts near where my kidney is {t}
My doctor said I have reduced kidney function and my stomach has been hurting a little for a few days now,YELLOW,en:my stomach has been hurting a little {t}
Should I take my phosphate binder before or after meals?,GREEN,en:should I take my phosphate binder before or after meals?
My doctor said I have reduced kidney function and my chest feels tight and heavy since last night,RED,en:my chest feels tight and heavy {t}
I have CKD and I have gone off my food since last night,YELLOW,en:I have gone off my food {t}
I'm on dialysis and I've been vomiting blood since this afternoon,RED,en:I've been vomiting blood {t}
I'm on dialysis and my blood pressure has been higher than usual for the last two days,YELLOW,en:my blood pressure has been higher than usual {t}
"As a kidney patient, I have some abdominal cramping since last night",YELLOW,en:I have some abdominal cramping {t}
I'm on dialysis and I've noticed a strange odor in my urine for the last two days,YELLOW,en:I've noticed a strange odor in my urine {t}
"As a kidney patient, I am passing dark red urine since this afternoon",RED,en:I am passing dark red urine {t}
Quick question - thank you for the help during my last visit,GREEN,en:thank you for the help during my last visit
What time is my dialysis session tomorrow?,GREEN,en:what time is my dialysis session tomorrow?
My doctor said I have reduced kidney function and this is the worst headache I've ever had since last night,RED,en:this is the worst headache I've ever had {t}
"আমার কিডনি রোগ আছে, গতকাল থেকে হঠাৎ তীব্র মাথাব্যথা শুরু হয়েছে",RED,bn:{t}হঠাৎ তীব্র মাথাব্যথা শুরু হয়েছে
I had a kidney transplant last year and my legs and ankles have been swelling since this afternoon,YELLOW,en:my legs and ankles have been swelling {t}
My doctor said I have reduced kidney function and I am too weak to stand up since yesterday,RED,en:I am too weak to stand up {t}
My side hurts near where my kidney is for the last two days,YELLOW,en:my side hurts near where my kidney is {t}
"Please, is there wheelchair access at the entrance?",GREEN,en:is there wheelchair access at the entrance?
There's blood when I pee for a few days now,RED,en:there's blood when I pee {t}
"As a kidney patient, I've had a dull headache and feel a bit off since last night",YELLOW,en:I've had a dull headache and feel a bit off {t}
I'd like to request a refill of my blood pressure medication,GREEN,en:I'd like to request a refill of my blood pressure medication
I have CKD and I have a headache since this afternoon,YELLOW,en:I have a headache {t}
I am so swollen that I cannot sleep lying down for a few days now,RED,en:I am so swollen that I cannot sleep lying down {t}
"As a kidney patient, my side hurts near where my kidney is since yesterday",YELLOW,en:my side hurts near where my kidney is {t}
"As a kidney patient, I have a headache this morning",YELLOW,en:I have a headache {t}
I'm on dialysis and I have gone off my food for a few days now,YELLOW,en:I have gone off my food {t}
I've had muscle cramps since last night,YELLOW,en:I've had muscle cramps {t}
I had a kidney transplant last year and I've been vomiting blood since yesterday,RED,en:I've been vomiting blood {t}
I have CKD and I have a dull ache in my kidney area since this afternoon,YELLOW,en:I have a dull ache in my kidney area {t}
"Since my kidney stone, I've been peeing blood since last night",RED,en:I've been peeing blood {t}
ওষুধ খাওয়ার নিয়ম কী?,GREEN,bn:ওষুধ খাওয়ার নিয়ম কী?
"আমার কিডনির কার্যক্ষমতা কমে গেছে, আজ সকাল থেকে পেটে হালকা ব্যথা",YELLOW,bn:{t}পেটে হালকা ব্যথা
"Good morning, should I bring my previous reports to the appointment?",GREEN,en:should I bring my previous reports to the appointment?
My doctor said I have reduced kidney function and I have a mild headache this morning,YELLOW,en:I have a mild headache {t}
I have stage 3 kidney disease and my side hurts near where my kidney is for the last two days,YELLOW,en:my side hurts near where my kidney is {t}
Quick question - is it fine to have yogurt on my diet?,GREEN,en:is it fine to have yogurt on my diet?
"As a kidney patient, my chest feels squeezed for the last two days",RED,en:my chest feels squeezed {t}
I'm on dialysis and I've been urinating less than usual this morning,YELLOW,en:I've been urinating less than usual {t}
"আমার কিডনি রোগ আছে, গতকাল থেকে কিডনির জায়গায় হালকা ব্যথা",YELLOW,bn:{t}কিডনির জায়গায় হালকা ব্যথা
I had a kidney transplant last year and I have some discomfort around my kidneys for the last two days,YELLOW,en:I have some discomfort around my kidneys {t}
I'm peeing much less than before for a few days now,YELLOW,en:I'm peeing much less than before {t}
I have CKD and I have no urine output since last night,RED,en:I have no urine output {t}
I had a kidney transplant last year and my family said I was unresponsive since last night,RED,en:my family said I was unresponsive {t}
"দয়া করে জানাবেন, গত ভিজিটে সাহায্যের জন্য ধন্যবাদ",GREEN,bn:গত ভিজিটে সাহায্যের জন্য ধন্যবাদ
"Good morning, can I reschedule my lab test to the morning?",GREEN,en:can I reschedule my lab test to the morning?
"As a kidney patient, I'm peeing much less than before since last night",YELLOW,en:I'm peeing much less than before {t}
I'm on dialysis and I am so swollen that I cannot sleep lying down for a few days now,RED,en:I am so swollen that I cannot sleep lying down {t}
I have CKD and I have flank pain for a few days now,YELLOW,en:I have flank pain {t}
I'm on dialysis and my blood pressure readings are higher than normal over the past week,YELLOW,en:my blood pressure readings are higher than normal {t}
I have CKD and I have a mild headache since yesterday,YELLOW,en:I have a mild headache {t}
"As a kidney patient, I go lightheaded when I stand up since last night",YELLOW,en:I go lightheaded when I stand up {t}
I'm on dialysis and I haven't passed any urine over the past week,RED,en:I haven't passed any urine {t}
How many cups of fluid can I have daily?,GREEN,en:how many cups of fluid can I have daily?
"আমি ডায়ালাইসিস নিচ্ছি, মুখে ধাতব স্বাদ লাগছে",YELLOW,bn:{t}মুখে ধাতব স্বাদ লাগছে
"Please, can I drink coffee on my dialysis days?",GREEN,en:can I drink coffee on my dialysis days?
"Since my kidney stone, I get cramp in my legs at night over the past week",YELLOW,en:I get cramp in my legs at night {t}
"দয়া করে জানাবেন, আমি কি বিমানে ভ্রমণ করতে পারব?",GREEN,bn:আমি কি বিমানে ভ্রমণ করতে পারব?
"Since my kidney stone, I am badly out of breath for a few days now",RED,en:I am badly out of breath {t}
I have the most severe headache I have ever felt since yesterday,RED,en:I have the most severe headache I have ever felt {t}
"As a kidney patient, I have a sudden severe headache, the worst one of my life this morning",RED,"en:I have a sudden severe headache, the worst one of my life {t}"
My doctor said I have reduced kidney function and there is red in the toilet after I pee since last night,RED,en:there is red in the toilet after I pee {t}
I get breathless just walking across the room over the past week,RED,en:I get breathless just walking across the room {t}
I had a kidney transplant last year and I passed out over the past week,RED,en:I passed out {t}
"Please, can I book an appointment for next Monday?",GREEN,en:can I book an appointment for next Monday?
I had a kidney transplant last year and I passed out this morning,RED,en:I passed out {t}
"Hello, are my last lab results available yet?",GREEN,en:are my last lab results available yet?
I have stage 3 kidney disease and I've noticed a strange odor in my urine since yesterday,YELLOW,en:I've noticed a strange odor in my urine {t}
My skin itches badly for a few days now,YELLOW,en:my skin itches badly {t}
I have stage 3 kidney disease and I have severe abdominal pain that won't go away for the last two days,RED,en:I have severe abdominal pain that won't go away {t}
Quick question - what documents do I need for my next visit?,GREEN,en:what documents do I need for my next visit?
"আমার কিডনি রোগ আছে, দুই দিন ধরে শ্বাসকষ্ট হচ্ছে",RED,bn:{t}শ্বাসকষ্ট হচ্ছে
My doctor said I have reduced kidney function and I noticed blood in my urine since last night,RED,en:I noticed blood in my urine {t}
"দয়া করে জানাবেন, দিনে কতটুকু পানি খাব?",GREEN,bn:দিনে কতটুকু পানি খাব?
"Please, can I travel by plane next month?",GREEN,en:can I travel by plane next month?
I have CKD and this is the worst headache I've ever had this morning,RED,en:this is the worst headache I've ever had {t}
"Please, can I pay my bill online?",GREEN,en:can I pay my bill online?
কাল রাত থেকে প্রস্রাবে রক্ত যাচ্ছে,RED,bn:{t}প্রস্রাবে রক্ত যাচ্ছে
একটা প্রশ্ন ছিল - ওষুধ খাওয়ার নিয়ম কী?,GREEN,bn:ওষুধ খাওয়ার নিয়ম কী?
I have stage 3 kidney disease and my hands and feet feel swollen for the last two days,YELLOW,en:my hands and feet feel swollen {t}
"As a kidney patient, I get breathless just walking across the room since this afternoon",RED,en:I get breathless just walking across the room {t}
"As a kidney patient, my urination has decreased this morning",YELLOW,en:my urination has decreased {t}
"আসসালামু আলাইকুম, প্রেসক্রিপশনের একটি কপি পাঠাতে পারবেন?",GREEN,bn:প্রেসক্রিপশনের একটি কপি পাঠাতে পারবেন?
"As a kidney patient, I'm peeing much less than before for the last two days",YELLOW,en:I'm peeing much less than before {t}
I have stage 3 kidney disease and I have some abdominal pain since yesterday,YELLOW,en:I have some abdominal pain {t}
"Hello, should I bring my previous reports to the appointment?",GREEN,en:should I bring my previous reports to the appointment?
"Hello, can I take paracetamol for a mild headache?",GREEN,en:can I take paracetamol for a mild headache?
"Good morning, I get a mild headache sometimes, is that anything to worry about?",GREEN,"en:I get a mild headache sometimes, is that anything to worry about?"
রক্ত পরীক্ষার আগে কি খালি পেটে থাকতে হবে?,GREEN,bn:রক্ত পরীক্ষার আগে কি খালি পেটে থাকতে হবে?
I feel severely confused since last night,RED,en:I feel severely confused {t}
I had a kidney transplant last year and I go lightheaded when I stand up this morning,YELLOW,en:I go lightheaded when I stand up {t}
Blood is coming through my urine for the last two days,RED,en:blood is coming through my urine {t}
I have CKD and my urine smells different than usual this morning,YELLOW,en:my urine smells different than usual {t}
দিনে কতটুকু লবণ খাওয়া নিরাপদ?,GREEN,bn:দিনে কতটুকু লবণ খাওয়া নিরাপদ?
I have CKD and I've had muscle cramps since last night,YELLOW,en:I've had muscle cramps {t}
"Hi, what should my daily water intake be?",GREEN,en:what should my daily water intake be?
"কিডনি রোগী হিসেবে বলছি, দুই দিন ধরে হালকা মাথাব্যথা করছে",YELLOW,bn:{t}হালকা মাথাব্যথা করছে
"Hello, I'd like to request a refill of my blood pressure medication",GREEN,en:I'd like to request a refill of my blood pressure medication
I had a kidney transplant last year and I've been feeling very tired and weak for the last two days,YELLOW,en:I've been feeling very tired and weak {t}
"Since my kidney stone, my urine has an unusual smell since this afternoon",YELLOW,en:my urine has an unusual smell {t}
