text,label,template
"Since my kidney stone, I'm peeing much less than before since this afternoon",YELLOW,en:I'm peeing much less than before {t}
"As a kidney patient, I am so swollen that I cannot sleep lying down this morning",RED,en:I am so swollen that I cannot sleep lying down {t}
My back is hurting near my kidneys over the past week,YELLOW,en:my back is hurting near my kidneys {t}
"Since my kidney stone, my ankles leave a dent when I press them since last night",YELLOW,en:my ankles leave a dent when I press them {t}
আজ সকাল থেকে খিঁচুনি হয়েছে,RED,bn:{t}খিঁচুনি হয়েছে
"Please, is it normal to get an occasional mild headache?",GREEN,en:is it normal to get an occasional mild headache?
I'm on dialysis and my stomach feels bloated after meals since last night,YELLOW,en:my stomach feels bloated after meals {t}
"Since my kidney stone, my urination has decreased for the last two days",YELLOW,en:my urination has decreased {t}
I have CKD and I've noticed a strange odor in my urine over the past week,YELLOW,en:I've noticed a strange odor in my urine {t}
"Since my kidney stone, I feel dizzy when I stand up since yesterday",YELLOW,en:I feel dizzy when I stand up {t}
"Hello, can my family member pick up my medication?",GREEN,en:can my family member pick up my medication?
Quick question - can I reschedule my lab test to the morning?,GREEN,en:can I reschedule my lab test to the morning?
How do I sign up for the patient portal?,GREEN,en:how do I sign up for the patient portal?
আজ সকাল থেকে শ্বাসকষ্ট হচ্ছে,RED,bn:{t}শ্বাসকষ্ট হচ্ছে
গতকাল থেকে শ্বাস নিতে খুব কষ্ট হচ্ছে,RED,bn:{t}শ্বাস নিতে খুব কষ্ট হচ্ছে
Is it okay to have oranges with my potassium levels?,GREEN,en:is it okay to have oranges with my potassium levels?
My doctor said I have reduced kidney function and I go lightheaded when I stand up for the last two days,YELLOW,en:I go lightheaded when I stand up {t}
"Since my kidney stone, I have severe abdominal pain that won't go away over the past week",RED,en:I have severe abdominal pain that won't go away {t}
Is a bit of an upset stomach after meals normal for my condition?,GREEN,en:is a bit of an upset stomach after meals normal for my condition?
I have CKD and there is red in the toilet after I pee for a few days now,RED,en:there is red in the toilet after I pee {t}
ডায়ালাইসিসের সময় কখন?,GREEN,bn:ডায়ালাইসিসের সময় কখন?
I'm on dialysis and I'm extremely drowsy and can barely stay awake since yesterday,RED,en:I'm extremely drowsy and can barely stay awake {t}
"As a kidney patient, I cannot empty my bladder since yesterday",RED,en:I cannot empty my bladder {t}
Quick question - can I get a medical certificate for work?,GREEN,en:can I get a medical certificate for work?
I'm on dialysis and I haven't passed any urine since last night,RED,en:I haven't passed any urine {t}
I had a kidney transplant last year and I've been throwing up nonstop and can't keep any water down since last night,RED,en:I've been throwing up nonstop and can't keep any water down {t}
"Hello, can I get a medical certificate for work?",GREEN,en:can I get a medical certificate for work?
"Hi, can I eat bananas on my current diet?",GREEN,en:can I eat bananas on my current diet?
My doctor said I have reduced kidney function and my skin itches badly this morning,YELLOW,en:my skin itches badly {t}
"Good morning, is there wheelchair access at the entrance?",GREEN,en:is there wheelchair access at the entrance?
I have stage 3 kidney disease and there is red in the toilet after I pee since this afternoon,RED,en:there is red in the toilet after I pee {t}
"Hello, how many cups of fluid can I have daily?",GREEN,en:how many cups of fluid can I have daily?
Quick question - can I pay my bill online?,GREEN,en:can I pay my bill online?
"আমার কিডনির কার্যক্ষমতা কমে গেছে, কয়েকদিন ধরে প্রস্রাব কম হচ্ছে",YELLOW,bn:{t}প্রস্রাব কম হচ্ছে
"Since my kidney stone, my legs and ankles have been swelling since this afternoon",YELLOW,en:my legs and ankles have been swelling {t}
I'm on dialysis and I've had a headache on and off since this afternoon,YELLOW,en:I've had a headache on and off {t}
I'm on dialysis and I can't breathe properly over the past week,RED,en:I can't breathe properly {t}
"আমার কিডনি রোগ আছে, কাল রাত থেকে খুব দুর্বল লাগছে",YELLOW,bn:{t}খুব দুর্বল লাগছে
I've had muscle cramps since yesterday,YELLOW,en:I've had muscle cramps {t}
My doctor said I have reduced kidney function and my eyes are puffy in the mornings this morning,YELLOW,en:my eyes are puffy in the mornings {t}
গতকাল থেকে বমি বমি ভাব লাগছে,YELLOW,bn:{t}বমি বমি ভাব লাগছে
I have stage 3 kidney disease and I passed out over the past week,RED,en:I passed out {t}
"As a kidney patient, I've been peeing blood this morning",RED,en:I've been peeing blood {t}
"Hello, when is my next follow-up scheduled?",GREEN,en:when is my next follow-up scheduled?
Quick question - when is my next follow-up scheduled?,GREEN,en:when is my next follow-up scheduled?
"As a kidney patient, I have severe pain in my side with a high fever and shaking chills over the past week",RED,en:I have severe pain in my side with a high fever and shaking chills {t}
I had a kidney transplant last year and I'm having chest pain since last night,RED,en:I'm having chest pain {t}
I'm not urinating as much as I used to since yesterday,YELLOW,en:I'm not urinating as much as I used to {t}
"As a kidney patient, I am badly out of breath for a few days now",RED,en:I am badly out of breath {t}
My doctor said I have reduced kidney function and my skin itches badly since yesterday,YELLOW,en:my skin itches badly {t}
"Hi, is it normal to get an occasional mild headache?",GREEN,en:is it normal to get an occasional mild headache?
I have stage 3 kidney disease and I have no urine output over the past week,RED,en:I have no urine output {t}
My doctor said I have reduced kidney function and my urine output seems lower than normal since last night,YELLOW,en:my urine output seems lower than normal {t}
টমেটো খাওয়া যাবে কি?,GREEN,bn:টমেটো খাওয়া যাবে কি?
Quick question - can I drink coffee on my dialysis days?,GREEN,en:can I drink coffee on my dialysis days?
I'm on dialysis and my urine smells different than usual this morning,YELLOW,en:my urine smells different than usual {t}
I have stage 3 kidney disease and my blood pressure has been higher than usual since this afternoon,YELLOW,en:my blood pressure has been higher than usual {t}
"কিডনি রোগী হিসেবে বলছি, আজ সকাল থেকে বমি বমি ভাব লাগছে",YELLOW,bn:{t}বমি বমি ভাব লাগছে
আজ সকাল থেকে খুব দুর্বল লাগছে,YELLOW,bn:{t}খুব দুর্বল লাগছে
"As a kidney patient, my skin itches badly for a few days now",YELLOW,en:my skin itches badly {t}
একটা প্রশ্ন ছিল - ডায়ালাইসিসের সময় কখন?,GREEN,bn:ডায়ালাইসিসের সময় কখন?
I'm on dialysis and my stomach has been hurting a little since this afternoon,YELLOW,en:my stomach has been hurting a little {t}
I have CKD and my blood pressure readings are higher than normal since yesterday,YELLOW,en:my blood pressure readings are higher than normal {t}
My doctor said I have reduced kidney function and I have the most severe headache I have ever felt this morning,RED,en:I have the most severe headache I have ever felt {t}
"As a kidney patient, I fainted since yesterday",RED,en:I fainted {t}
Quick question - is it safe for me to exercise at the gym?,GREEN,en:is it safe for me to exercise at the gym?
I'm on dialysis and I've had a dull headache and feel a bit off since last night,YELLOW,en:I've had a dull headache and feel a bit off {t}
I have CKD and I'm extremely drowsy and can barely stay awake since this afternoon,RED,en:I'm extremely drowsy and can barely stay awake {t}
"কিডনি রোগী হিসেবে বলছি, গতকাল থেকে রক্তচাপ স্বাভাবিকের চেয়ে বেশি",YELLOW,bn:{t}রক্তচাপ স্বাভাবিকের চেয়ে বেশি
I have severe abdominal pain that won't go away for a few days now,RED,en:I have severe abdominal pain that won't go away {t}
"আমার কিডনির কার্যক্ষমতা কমে গেছে, কয়েকদিন ধরে বুকে চাপ লাগছে",RED,bn:{t}বুকে চাপ লাগছে
"As a kidney patient, I noticed blood in my urine this morning",RED,en:I noticed blood in my urine {t}
I have stage 3 kidney disease and my urine output seems lower than normal for a few days now,YELLOW,en:my urine output seems lower than normal {t}
"আমি ডায়ালাইসিস নিচ্ছি, আজ সকাল থেকে হঠাৎ তীব্র মাথাব্যথা শুরু হয়েছে",RED,bn:{t}হঠাৎ তীব্র মাথাব্যথা শুরু হয়েছে
My urine is the colour of blood this morning,RED,en:my urine is the colour of blood {t}
I have stage 3 kidney disease and my legs are hugely swollen and now it's hard to lie flat since yesterday,RED,en:my legs are hugely swollen and now it's hard to lie flat {t}
Quick question - is it normal to get an occasional mild headache?,GREEN,en:is it normal to get an occasional mild headache?
I have stage 3 kidney disease and I've had a dull headache and feel a bit off this morning,YELLOW,en:I've had a dull headache and feel a bit off {t}
"আমার কিডনির কার্যক্ষমতা কমে গেছে, কাল রাত থেকে পেটে হালকা ব্যথা",YELLOW,bn:{t}পেটে হালকা ব্যথা
"আমার কিডনি রোগ আছে, রক্ত বমি হচ্ছে",RED,bn:{t}রক্ত বমি হচ্ছে
I had a kidney transplant last year and there is pressure across my chest over the past week,RED,en:there is pressure across my chest {t}
My ankles puff up by the evening since last night,YELLOW,en:my ankles puff up by the evening {t}
Quick question - do I need to fast before my blood test?,GREEN,en:do I need to fast before my blood test?
My doctor said I have reduced kidney function and nothing comes out when I try to pee for a few days now,RED,en:nothing comes out when I try to pee {t}
Can I eat bananas on my current diet?,GREEN,en:can I eat bananas on my current diet?
Quick question - does the clinic open on weekends?,GREEN,en:does the clinic open on weekends?
"আমি ডায়ালাইসিস নিচ্ছি, কাল রাত থেকে প্রস্রাবে রক্ত যাচ্ছে",RED,bn:{t}প্রস্রাবে রক্ত যাচ্ছে
"আমার কিডনি রোগ আছে, কয়েকদিন ধরে বুকে চাপ লাগছে",RED,bn:{t}বুকে চাপ লাগছে
"Good morning, is it fine to have yogurt on my diet?",GREEN,en:is it fine to have yogurt on my diet?
I'm on dialysis and I am badly out of breath for a few days now,RED,en:I am badly out of breath {t}
I had a kidney transplant last year and I brought up blood since this afternoon,RED,en:I brought up blood {t}
My doctor said I have reduced kidney function and I have severe pain in my side with a high fever and shaking chills over the past week,RED,en:I have severe pain in my side with a high fever and shaking chills {t}
"Please, how do I update my address in your records?",GREEN,en:how do I update my address in your records?
"Hello, can I travel by plane next month?",GREEN,en:can I travel by plane next month?
I have CKD and I have some discomfort around my kidneys over the past week,YELLOW,en:I have some discomfort around my kidneys {t}
I have CKD and my urine is the colour of blood since last night,RED,en:my urine is the colour of blood {t}
I had a kidney transplant last year and my ankles leave a dent when I press them this morning,YELLOW,en:my ankles leave a dent when I press them {t}
"As a kidney patient, I pass water less often than I used to for the last two days",YELLOW,en:I pass water less often than I used to {t}
একটা প্রশ্ন ছিল - ব্যায়াম করা কি আমার জন্য নিরাপদ?,GREEN,bn:ব্যায়াম করা কি আমার জন্য নিরাপদ?
"As a kidney patient, I fainted for a few days now",RED,en:I fainted {t}
I'm on dialysis and my urine looks foamy since last night,YELLOW,en:my urine looks foamy {t}
I brought up blood for the last two days,RED,en:I brought up blood {t}
My doctor said I have reduced kidney function and my urine has an unusual smell this morning,YELLOW,en:my urine has an unusual smell {t}
I have stage 3 kidney disease and I have some abdominal cramping this morning,YELLOW,en:I have some abdominal cramping {t}
"As a kidney patient, there is pressure across my chest since last night",RED,en:there is pressure across my chest {t}
Quick question - can I travel by plane next month?,GREEN,en:can I travel by plane next month?
"As a kidney patient, I have been sleeping badly for a few days now",YELLOW,en:I have been sleeping badly {t}
"Good morning, can I drink coffee on my dialysis days?",GREEN,en:can I drink coffee on my dialysis days?
"As a kidney patient, I am passing dark red urine over the past week",RED,en:I am passing dark red urine {t}
I have stage 3 kidney disease and my stomach has been hurting a little since last night,YELLOW,en:my stomach has been hurting a little {t}
I have a mild fever since last night,YELLOW,en:I have a mild fever {t}
I have CKD and there is red in the toilet after I pee since this afternoon,RED,en:there is red in the toilet after I pee {t}
I'm on dialysis and I have a mild headache this morning,YELLOW,en:I have a mild headache {t}
"আমার কিডনি রোগ আছে, কাল রাত থেকে প্রস্রাবে রক্ত যাচ্ছে",RED,bn:{t}প্রস্রাবে রক্ত যাচ্ছে
My doctor said I have reduced kidney function and my chest feels tight and heavy this morning,RED,en:my chest feels tight and heavy {t}
"আমি ডায়ালাইসিস নিচ্ছি, কাল রাত থেকে হালকা জ্বর এসেছে",YELLOW,bn:{t}হালকা জ্বর এসেছে
"আমার কিডনি রোগ আছে, আজ সকাল থেকে রক্তচাপ স্বাভাবিকের চেয়ে বেশি",YELLOW,bn:{t}রক্তচাপ স্বাভাবিকের চেয়ে বেশি
"আমার কিডনির কার্যক্ষমতা কমে গেছে, আমি জ্ঞান হারিয়ে ফেলেছিলাম",RED,bn:{t}আমি জ্ঞান হারিয়ে ফেলেছিলাম
"Good morning, how do I update my address in your records?",GREEN,en:how do I update my address in your records?
Quick question - is the pharmacy open after 6 pm?,GREEN,en:is the pharmacy open after 6 pm?
"আমি ডায়ালাইসিস নিচ্ছি, কাল রাত থেকে মুখ ফুলে গেছে",YELLOW,bn:{t}মুখ ফুলে গেছে
I have CKD and I haven't been going to the bathroom as much since this afternoon,YELLOW,en:I haven't been going to the bathroom as much {t}
I had a kidney transplant last year and I've gained a few kilos since this afternoon and feel bloated,YELLOW,en:I've gained a few kilos {t} and feel bloated
"Good morning, is it okay to have oranges with my potassium levels?",GREEN,en:is it okay to have oranges with my potassium levels?
I have stage 3 kidney disease and I'm not urinating as much as I used to for a few days now,YELLOW,en:I'm not urinating as much as I used to {t}
My doctor said I have reduced kidney function and there's blood when I pee since yesterday,RED,en:there's blood when I pee {t}
"Since my kidney stone, I've been short of breath for the last two days",RED,en:I've been short of breath {t}
"Please, can my family member pick up my medication?",GREEN,en:can my family member pick up my medication?
গতকাল থেকে প্রস্রাব কম হচ্ছে,YELLOW,bn:{t}প্রস্রাব কম হচ্ছে
"Hello, is it okay to have oranges with my potassium levels?",GREEN,en:is it okay to have oranges with my potassium levels?
"Since my kidney stone, my urine looks foamy this morning",YELLOW,en:my urine looks foamy {t}
I have CKD and food does not taste right since yesterday,YELLOW,en:food does not taste right {t}
I'm on dialysis and this is the worst headache I've ever had for the last two days,RED,en:this is the worst headache I've ever had {t}
I'm on dialysis and I've been really itchy all over this morning,YELLOW,en:I've been really itchy all over {t}
I'm on dialysis and my heartbeat feels irregular and I'm very weak and dizzy since yesterday,RED,en:my heartbeat feels irregular and I'm very weak and dizzy {t}
"Since my kidney stone, I brought up blood over the past week",RED,en:I brought up blood {t}
I have stage 3 kidney disease and I get cramp in my legs at night for a few days now,YELLOW,en:I get cramp in my legs at night {t}
"আমার কিডনি রোগ আছে, দুই দিন ধরে মুখ ফুলে গেছে",YELLOW,bn:{t}মুখ ফুলে গেছে
I'm on dialysis and I have pain near my kidneys over the past week,YELLOW,en:I have pain near my kidneys {t}
I had a kidney transplant last year and I've had a headache on and off over the past week,YELLOW,en:I've had a headache on and off {t}
I'm on dialysis and my blood pressure has been higher than usual since yesterday,YELLOW,en:my blood pressure has been higher than usual {t}
"Good morning, can I book an appointment for next Monday?",GREEN,en:can I book an appointment for next Monday?
My doctor said I have reduced kidney function and I think I had a seizure since yesterday,RED,en:I think I had a seizure {t}
কাল রাত থেকে প্রস্রাব একদম বন্ধ হয়ে গেছে,RED,bn:{t}প্রস্রাব একদম বন্ধ হয়ে গেছে
My doctor said I have reduced kidney function and I cannot get a full breath in since this afternoon,RED,en:I cannot get a full breath in {t}
"Since my kidney stone, I'm going to the bathroom less often for a few days now",YELLOW,en:I'm going to the bathroom less often {t}
My doctor said I have reduced kidney function and I'm peeing much less than before for a few days now,YELLOW,en:I'm peeing much less than before {t}
Can I drink coffee on my dialysis days?,GREEN,en:can I drink coffee on my dialysis days?
I have stage 3 kidney disease and my bladder feels full but nothing will come for a few days now,RED,en:my bladder feels full but nothing will come {t}
I have stage 3 kidney disease and I have not been able to pee for a few days now,RED,en:I have not been able to pee {t}
I have CKD and I have severe pain in my side with a high fever and shaking chills since yesterday,RED,en:I have severe pain in my side with a high fever and shaking chills {t}
I'm peeing much less than before since yesterday,YELLOW,en:I'm peeing much less than before {t}
"আসসালামু আলাইকুম, ভাত কতটুকু খাওয়া যাবে?",GREEN,bn:ভাত কতটুকু খাওয়া যাবে?
"কিডনি রোগী হিসেবে বলছি, কাল রাত থেকে খুব ক্লান্ত লাগছে",YELLOW,bn:{t}খুব ক্লান্ত লাগছে
I have stage 3 kidney disease and I'm extremely drowsy and can barely stay awake since yesterday,RED,en:I'm extremely drowsy and can barely stay awake {t}
"আমার কিডনি রোগ আছে, কাল রাত থেকে কোমরে ব্যথা করছে",YELLOW,bn:{t}কোমরে ব্যথা করছে
I had a kidney transplant last year and I am too weak to stand up for the last two days,RED,en:I am too weak to stand up {t}
Can I eat tomatoes with my condition?,GREEN,en:can I eat tomatoes with my condition?
I'm on dialysis and I feel nauseous and have lost my appetite for a few days now,YELLOW,en:I feel nauseous and have lost my appetite {t}
I haven't passed any urine since this afternoon,RED,en:I haven't passed any urine {t}
কয়েকদিন ধরে অজ্ঞান হয়ে গিয়েছিলাম,RED,bn:{t}অজ্ঞান হয়ে গিয়েছিলাম
পরের ভিজিট কবে?,GREEN,bn:পরের ভিজিট কবে?
"As a kidney patient, I have some discomfort around my kidneys since last night",YELLOW,en:I have some discomfort around my kidneys {t}
I'm on dialysis and I am badly out of breath this morning,RED,en:I am badly out of breath {t}
"I get a mild headache sometimes, is that anything to worry about?",GREEN,"en:I get a mild headache sometimes, is that anything to worry about?"
"Since my kidney stone, my ankles leave a dent when I press them for a few days now",YELLOW,en:my ankles leave a dent when I press them {t}
I have stage 3 kidney disease and I get breathless just walking across the room for the last two days,RED,en:I get breathless just walking across the room {t}
একটা প্রশ্ন ছিল - দিনে কতটুকু লবণ খাওয়া নিরাপদ?,GREEN,bn:দিনে কতটুকু লবণ খাওয়া নিরাপদ?
"Hello, I get a mild headache sometimes, is that anything to worry about?",GREEN,"en:I get a mild headache sometimes, is that anything to worry about?"
My doctor said I have reduced kidney function and my face looks puffy since last night,YELLOW,en:my face looks puffy {t}
Does the clinic open on weekends?,GREEN,en:does the clinic open on weekends?
"Since my kidney stone, I've been urinating less than usual over the past week",YELLOW,en:I've been urinating less than usual {t}
"As a kidney patient, I've gained a few kilos since this afternoon and feel bloated",YELLOW,en:I've gained a few kilos {t} and feel bloated
"কিডনি রোগী হিসেবে বলছি, কয়েকদিন ধরে আমি জ্ঞান হারিয়ে ফেলেছিলাম",RED,bn:{t}আমি জ্ঞান হারিয়ে ফেলেছিলাম
I have stage 3 kidney disease and I've been short of breath for a few days now,RED,en:I've been short of breath {t}
My ankles puff up by the evening over the past week,YELLOW,en:my ankles puff up by the evening {t}
"Since my kidney stone, I haven't been going to the bathroom as much for the last two days",YELLOW,en:I haven't been going to the bathroom as much {t}
I'm on dialysis and I've had trouble concentrating and feel foggy for the last two days,YELLOW,en:I've had trouble concentrating and feel foggy {t}
"As a kidney patient, my urine output seems lower than normal this morning",YELLOW,en:my urine output seems lower than normal {t}
"Good morning, are my last lab results available yet?",GREEN,en:are my last lab results available yet?
My doctor said I have reduced kidney function and there's blood in my urine and it won't stop,RED,en:there's blood in my urine and it won't stop
Quick question - is a bit of an upset stomach after meals normal for my condition?,GREEN,en:is a bit of an upset stomach after meals normal for my condition?
I'm on dialysis and my ankles puff up by the evening for the last two days,YELLOW,en:my ankles puff up by the evening {t}
"Please, do I need to fast before my blood test?",GREEN,en:do I need to fast before my blood test?
"আমার কিডনির কার্যক্ষমতা কমে গেছে, কাল রাত থেকে প্রস্রাব হচ্ছে না",RED,bn:{t}প্রস্রাব হচ্ছে না
"দয়া করে জানাবেন, পরের ভিজিট কবে?",GREEN,bn:পরের ভিজিট কবে?
My doctor said I have reduced kidney function and I am so swollen that I cannot sleep lying down for the last two days,RED,en:I am so swollen that I cannot sleep lying down {t}
I'm on dialysis and I have heavy bleeding that won't stop since last night,RED,en:I have heavy bleeding that won't stop {t}
I'm on dialysis and I've had trouble concentrating and feel foggy for a few days now,YELLOW,en:I've had trouble concentrating and feel foggy {t}
"আমার কিডনি রোগ আছে, দুই দিন ধরে হালকা মাথাব্যথা করছে",YELLOW,bn:{t}হালকা মাথাব্যথা করছে
I'm on dialysis and I have had no energy at all over the past week,YELLOW,en:I have had no energy at all {t}
I'm on dialysis and I have a nagging ache in my side since last night,YELLOW,en:I have a nagging ache in my side {t}
"Hi, when is my next follow-up scheduled?",GREEN,en:when is my next follow-up scheduled?
"As a kidney patient, I've had a headache on and off over the past week",YELLOW,en:I've had a headache on and off {t}
I have CKD and my ankles leave a dent when I press them since this afternoon,YELLOW,en:my ankles leave a dent when I press them {t}
I've been throwing up nonstop and can't keep any water down since yesterday,RED,en:I've been throwing up nonstop and can't keep any water down {t}
"আমার কিডনির কার্যক্ষমতা কমে গেছে, গতকাল থেকে অজ্ঞান হয়ে গিয়েছিলাম",RED,bn:{t}অজ্ঞান হয়ে গিয়েছিলাম
"Hi, is a bit of an upset stomach after meals normal for my condition?",GREEN,en:is a bit of an upset stomach after meals normal for my condition?
"Since my kidney stone, there is pressure across my chest since last night",RED,en:there is pressure across my chest {t}
I have CKD and I have a mild headache over the past week,YELLOW,en:I have a mild headache {t}
I have stage 3 kidney disease and my chest feels tight and heavy since this afternoon,RED,en:my chest feels tight and heavy {t}
I have stage 3 kidney disease and I've had a headache on and off since this afternoon,YELLOW,en:I've had a headache on and off {t}
I'm on dialysis and my legs are hugely swollen and now it's hard to lie flat for the last two days,RED,en:my legs are hugely swollen and now it's hard to lie flat {t}
"দয়া করে জানাবেন, ডায়ালাইসিসের সময় কখন?",GREEN,bn:ডায়ালাইসিসের সময় কখন?
একটা প্রশ্ন ছিল - গত ভিজিটে সাহায্যের জন্য ধন্যবাদ,GREEN,bn:গত ভিজিটে সাহায্যের জন্য ধন্যবাদ
I had a kidney transplant last year and food does not taste right since this afternoon,YELLOW,en:food does not taste right {t}
My doctor said I have reduced kidney function and there's blood when I pee since this afternoon,RED,en:there's blood when I pee {t}
I'm on dialysis and my hands and feet feel swollen this morning,YELLOW,en:my hands and feet feel swollen {t}
I have CKD and I have gone off my food this morning,YELLOW,en:I have gone off my food {t}
"আমার কিডনির কার্যক্ষমতা কমে গেছে, কয়েকদিন ধরে সারা শরীর চুলকাচ্ছে",YELLOW,bn:{t}সারা শরীর চুলকাচ্ছে
"As a kidney patient, I have felt feverish for the last two days",YELLOW,en:I have felt feverish {t}
"কিডনি রোগী হিসেবে বলছি, আজ সকাল থেকে হালকা জ্বর এসেছে",YELLOW,bn:{t}হালকা জ্বর এসেছে
I have CKD and I've gained a few kilos this morning and feel bloated,YELLOW,en:I've gained a few kilos {t} and feel bloated
Nothing comes out when I try to pee over the past week,RED,en:nothing comes out when I try to pee {t}
"Good morning, does the clinic open on weekends?",GREEN,en:does the clinic open on weekends?
I have CKD and my urine has turned dark like cola and I feel terrible since last night,RED,en:my urine has turned dark like cola and I feel terrible {t}
I had a kidney transplant last year and I'm peeing much less than before for a few days now,YELLOW,en:I'm peeing much less than before {t}
I had a kidney transplant last year and I have the most severe headache I have ever felt since this afternoon,RED,en:I have the most severe headache I have ever felt {t}
My doctor said I have reduced kidney function and I've gained a few kilos for a few days now and feel bloated,YELLOW,en:I've gained a few kilos {t} and feel bloated
Is it normal to get an occasional mild headache?,GREEN,en:is it normal to get an occasional mild headache?
